model,fit_score,predict_score,f1,precision,recall,confusion_matrix,classification_report,train_time_s,quantum_method,n_qubits,feature_map,base_models,model_weights,confidence_threshold,high_conf_accuracy,coverage,mean_confidence
LSTM,0.4999,0.5273,0.5119,0.5281,0.5273,"[[311, 583], [275, 646]]","{'0': {'precision': 0.5307167235494881, 'recall': 0.3478747203579418, 'f1-score': 0.42027027027027025, 'support': 894.0}, '1': {'precision': 0.5256305939788446, 'recall': 0.7014115092290988, 'f1-score': 0.6009302325581395, 'support': 921.0}, 'accuracy': 0.5272727272727272, 'macro avg': {'precision': 0.5281736587641663, 'recall': 0.5246431147935203, 'f1-score': 0.5106002514142048, 'support': 1815.0}, 'weighted avg': {'precision': 0.5281358280483516, 'recall': 0.5272727272727272, 'f1-score': 0.511944003199817, 'support': 1815.0}}",13.0,,,,,,,,,
GRU,0.524,0.5102,0.5077,0.5094,0.5102,"[[392, 502], [387, 534]]","{'0': {'precision': 0.503209242618742, 'recall': 0.43847874720357943, 'f1-score': 0.4686192468619247, 'support': 894.0}, '1': {'precision': 0.5154440154440154, 'recall': 0.5798045602605864, 'f1-score': 0.5457332652018395, 'support': 921.0}, 'accuracy': 0.5101928374655648, 'macro avg': {'precision': 0.5093266290313787, 'recall': 0.5091416537320829, 'f1-score': 0.5071762560318821, 'support': 1815.0}, 'weighted avg': {'precision': 0.5094176314738807, 'recall': 0.5101928374655648, 'f1-score': 0.5077498313749063, 'support': 1815.0}}",13.0,,,,,,,,,
XGBoost,0.8014,0.551,0.5503,0.552,0.551,"[[528, 366], [449, 472]]","{'0': {'precision': 0.5404298874104401, 'recall': 0.5906040268456376, 'f1-score': 0.564404061998931, 'support': 894.0}, '1': {'precision': 0.5632458233890215, 'recall': 0.512486427795874, 'f1-score': 0.5366685616827743, 'support': 921.0}, 'accuracy': 0.5509641873278237, 'macro avg': {'precision': 0.5518378553997307, 'recall': 0.5515452273207558, 'f1-score': 0.5505363118408526, 'support': 1815.0}, 'weighted avg': {'precision': 0.5520075607086624, 'recall': 0.5509641873278237, 'f1-score': 0.550330014731063, 'support': 1815.0}}",0.2,,,,,,,,,
RandomForest,0.9774,0.5383,0.5375,0.5393,0.5383,"[[519, 375], [463, 458]]","{'0': {'precision': 0.5285132382892057, 'recall': 0.5805369127516778, 'f1-score': 0.5533049040511727, 'support': 894.0}, '1': {'precision': 0.5498199279711885, 'recall': 0.49728555917481, 'f1-score': 0.5222348916761688, 'support': 921.0}, 'accuracy': 0.5382920110192837, 'macro avg': {'precision': 0.539166583130197, 'recall': 0.538911235963244, 'f1-score': 0.5377698978636707, 'support': 1815.0}, 'weighted avg': {'precision': 0.5393250626402284, 'recall': 0.5382920110192837, 'f1-score': 0.5375387985980715, 'support': 1815.0}}",1.4,,,,,,,,,
SVM,0.8115,0.5019,0.5019,0.5021,0.5019,"[[455, 439], [465, 456]]","{'0': {'precision': 0.4945652173913043, 'recall': 0.5089485458612976, 'f1-score': 0.5016538037486218, 'support': 894.0}, '1': {'precision': 0.5094972067039106, 'recall': 0.495114006514658, 'f1-score': 0.5022026431718062, 'support': 921.0}, 'accuracy': 0.5019283746556474, 'macro avg': {'precision': 0.5020312120476075, 'recall': 0.5020312761879777, 'f1-score': 0.501928223460214, 'support': 1815.0}, 'weighted avg': {'precision': 0.5021422764309244, 'recall': 0.5019283746556474, 'f1-score': 0.5019323057369154, 'support': 1815.0}}",5.0,,,,,,,,,
DNN,0.5689,0.5273,0.5273,0.5274,0.5273,"[[475, 419], [439, 482]]","{'0': {'precision': 0.5196936542669585, 'recall': 0.5313199105145414, 'f1-score': 0.5254424778761062, 'support': 894.0}, '1': {'precision': 0.5349611542730299, 'recall': 0.5233441910966341, 'f1-score': 0.5290889132821076, 'support': 921.0}, 'accuracy': 0.5272727272727272, 'macro avg': {'precision': 0.5273274042699942, 'recall': 0.5273320508055878, 'f1-score': 0.5272656955791069, 'support': 1815.0}, 'weighted avg': {'precision': 0.5274409641873947, 'recall': 0.5272727272727272, 'f1-score': 0.5272928178259284, 'support': 1815.0}}",6.9,,,,,,,,,
Transformer,0.688,0.5333,0.5303,0.533,0.5333,"[[404, 490], [357, 564]]","{'0': {'precision': 0.5308804204993429, 'recall': 0.4519015659955257, 'f1-score': 0.4882175226586103, 'support': 894.0}, '1': {'precision': 0.5351043643263758, 'recall': 0.6123778501628665, 'f1-score': 0.5711392405063291, 'support': 921.0}, 'accuracy': 0.5333333333333333, 'macro avg': {'precision': 0.5329923924128593, 'recall': 0.5321397080791961, 'f1-score': 0.5296783815824697, 'support': 1815.0}, 'weighted avg': {'precision': 0.5330238101768621, 'recall': 0.5333333333333333, 'f1-score': 0.530295154690428, 'support': 1815.0}}",36.1,,,,,,,,,
CNNLSTM,0.7499,0.5344,0.5344,0.5348,0.5344,"[[491, 403], [442, 479]]","{'0': {'precision': 0.5262593783494105, 'recall': 0.5492170022371364, 'f1-score': 0.5374931581828134, 'support': 894.0}, '1': {'precision': 0.5430839002267573, 'recall': 0.5200868621064061, 'f1-score': 0.5313366611203549, 'support': 921.0}, 'accuracy': 0.5344352617079889, 'macro avg': {'precision': 0.5346716392880839, 'recall': 0.5346519321717713, 'f1-score': 0.5344149096515842, 'support': 1815.0}, 'weighted avg': {'precision': 0.5347967803598989, 'recall': 0.5344352617079889, 'f1-score': 0.5343691175246733, 'support': 1815.0}}",16.9,,,,,,,,,
BiLSTM,0.5655,0.5229,0.5203,0.5247,0.5229,"[[535, 359], [507, 414]]","{'0': {'precision': 0.5134357005758158, 'recall': 0.598434004474273, 'f1-score': 0.5526859504132231, 'support': 894.0}, '1': {'precision': 0.535575679172057, 'recall': 0.4495114006514658, 'f1-score': 0.4887839433293979, 'support': 921.0}, 'accuracy': 0.5228650137741047, 'macro avg': {'precision': 0.5245056898739364, 'recall': 0.5239727025628693, 'f1-score': 0.5207349468713105, 'support': 1815.0}, 'weighted avg': {'precision': 0.5246703674006853, 'recall': 0.5228650137741047, 'f1-score': 0.5202596426863895, 'support': 1815.0}}",9.9,,,,,,,,,
TCN,0.9996,0.5471,0.5471,0.5472,0.5471,"[[490, 404], [418, 503]]","{'0': {'precision': 0.539647577092511, 'recall': 0.5480984340044742, 'f1-score': 0.5438401775804661, 'support': 894.0}, '1': {'precision': 0.5545755237045203, 'recall': 0.5461454940282302, 'f1-score': 0.550328227571116, 'support': 921.0}, 'accuracy': 0.547107438016529, 'macro avg': {'precision': 0.5471115503985157, 'recall': 0.5471219640163523, 'f1-score': 0.547084202575791, 'support': 1815.0}, 'weighted avg': {'precision': 0.5472225847121587, 'recall': 0.547107438016529, 'f1-score': 0.547132460798862, 'support': 1815.0}}",38.9,,,,,,,,,
